;efficiency;marginal_cost;p_nom;carrier;p_max_pu
5863 solar;1.0;1.0;63.31986612889742;solar;0.032230964988783
5864 biomass;0.4700000000000001;14.893617021276608;12.393499999999998;biomass;1.0
5864 coal;0.33;28.196969696969695;267.36171740332054;coal;1.0
5864 onwind;1.0;2.0;22.620608399824633;onshore wind;0.0
5864 solar;1.0;1.0;57.40510853596595;solar;0.03282264876578726
5865 biomass;0.4699999999999992;14.893617021276599;90.52585;biomass;1.0
5865 onwind;1.0;2.0;289.00285848070774;onshore wind;0.0
5865 solar;1.0;1.0;90.24561697246034;solar;0.06410691087410064
5867 biomass;0.4699999999999994;14.893617021276604;49.34900000000001;biomass;1.0
5867 onwind;1.0;2.0;194.80783871436097;onshore wind;0.0
5867 solar;1.0;1.0;103.86849531575629;solar;0.036839719324580265
5870 biomass;0.46999999999999986;14.893617021276595;18.448;biomass;1.0
5870 onwind;1.0;2.0;250.12510746516097;onshore wind;0.0
5870 solar;1.0;1.0;95.04883943410576;solar;0.13670683807120632
5871 biomass;0.46999999999999925;14.893617021276619;54.4035;biomass;1.0
5871 onwind;1.0;2.0;380.7027640110677;onshore wind;0.0
5871 solar;1.0;1.0;154.1013094143434;solar;0.10360434445171124
5873 biomass;0.46999999999999925;14.89361702127661;93.87550000000002;biomass;1.0
5873 onwind;1.0;2.0;390.4084939879173;onshore wind;0.0
5873 solar;1.0;1.0;140.94689975369812;solar;0.2071539340381883
5875 biomass;0.4699999999999998;14.893617021276592;47.465999999999994;biomass;1.0
5875 onwind;1.0;2.0;349.78179746991043;onshore wind;0.0
5875 ror;0.9;3.0;0.09;run of river;0.6608531105671128
5875 solar;1.0;1.0;146.29113814419776;solar;0.5638828714994893
5878 biomass;0.46999999999999986;14.893617021276594;105.13499999999999;biomass;1.0
5878 offwind-ac;1.0;2.0;91.97551810747481;offshore wind;0.07035134048428228
5878 onwind;1.0;2.0;951.1917182515995;onshore wind;0.0368342957160564
5878 solar;1.0;1.0;332.543484001074;solar;0.1586692895823812
5879 CCGT;0.5805;38.82532299741602;127.0;CCGT;1.0
5879 biomass;0.4699999999999998;14.893617021276603;23.5754;biomass;1.0
5879 coal;0.33;28.196969696969695;188.99707609545072;coal;1.0
5879 onwind;1.0;2.0;1.2895058467685048;onshore wind;0.0
5879 ror;0.9;3.0;0.11;run of river;0.6608531105671128
5879 solar;1.0;1.0;24.15212657224123;solar;0.04450666104865132
5880 biomass;0.4699999999999995;14.893617021276597;50.195499999999996;biomass;1.0
5880 onwind;1.0;2.0;244.34153297067004;onshore wind;0.0
5880 solar;1.0;1.0;87.34605398220604;solar;0.18065287167254926
5882 biomass;0.47;14.893617021276599;18.9945;biomass;1.0
5882 onwind;1.0;2.0;107.1995669483343;onshore wind;0.0
5882 solar;1.0;1.0;63.8033970491612;solar;0.25459477717700096
5883 biomass;0.47000000000000014;14.893617021276608;14.664999999999997;biomass;1.0
5883 onwind;1.0;2.0;94.36014951003598;onshore wind;0.0
5883 solar;1.0;1.0;81.3563879155193;solar;0.4128183256404534
5886 biomass;0.4699999999999996;14.893617021276583;42.56600000000001;biomass;1.0
5886 onwind;1.0;2.0;205.80002478434838;onshore wind;0.0
5886 solar;1.0;1.0;95.45928769364164;solar;0.4404820002681853
5887 biomass;0.46999999999999925;14.893617021276624;77.043;biomass;1.0
5887 onwind;1.0;2.0;448.79470485614206;onshore wind;0.0
5887 solar;1.0;1.0;124.38830920822221;solar;0.367044404445146
7023 CCGT;0.5809390243902439;38.799156118143465;1210.0;CCGT;1.0
7023 biomass;0.4699999999999998;14.893617021276603;9.121999999999998;biomass;1.0
7023 lignite;0.34419999999999995;12.67747498392351;260.1785078301835;lignite;1.0
7023 onwind;1.0;2.0;58.662455673118394;onshore wind;0.11342157120348086
7023 solar;1.0;1.0;61.51808012306345;solar;0.26733860146399613
7074 biomass;0.4699999999999998;14.893617021276604;8.661;biomass;1.0
7074 offwind-ac;1.0;2.0;158.34909356611124;offshore wind;0.002801172218204964
7074 offwind-dc;1.0;2.0;510.45782333071264;offshore wind;0.05829040955360462
7074 onwind;1.0;2.0;210.90444989847055;onshore wind;0.0
7074 solar;1.0;1.0;32.76357795619809;solar;0.021766635343491172
7208 biomass;0.4699999999999998;14.893617021276604;4.0280000000000005;biomass;1.0
7208 onwind;1.0;2.0;2.384156965274685;onshore wind;0.15912694832867505
7208 ror;0.9;3.0;0.343;run of river;0.6608531105671127
7208 solar;1.0;1.0;79.00841698334732;solar;0.4057027100139357
7317 biomass;0.46999999999999986;14.893617021276597;0.917;biomass;1.0
7317 onwind;1.0;2.0;2.6058247961832555;onshore wind;0.06370053571813247
7317 ror;0.9;3.0;1.033;run of river;0.6608531105671127
7317 solar;1.0;1.0;20.752435023681155;solar;0.3512063155204218
7328 biomass;0.4699999999999998;14.893617021276603;4.689;biomass;1.0
7328 onwind;1.0;2.0;62.12616931609355;onshore wind;0.10229058827473185
7328 ror;0.9;3.0;0.88;run of river;0.6608531105671129
7328 solar;1.0;1.0;100.90912196014983;solar;0.488745623062343
7330 biomass;0.4700000000000002;14.893617021276608;15.107999999999999;biomass;1.0
7330 onwind;1.0;2.0;163.07927435987432;onshore wind;0.0
7330 solar;1.0;1.0;71.50373351487356;solar;0.07940631982876324
7373 CCGT;0.54;41.422222222222224;106.0;CCGT;1.0
7373 OCGT;0.38115;57.23525345238294;79.0;OCGT;1.0
7373 biomass;0.46999999999999986;14.893617021276594;51.1312;biomass;1.0
7373 onwind;1.0;2.0;569.6132608206614;onshore wind;0.0
7373 solar;1.0;1.0;728.9249306978714;solar;0.05948886557669628
7420 biomass;0.4699999999999999;14.893617021276606;5.6277;biomass;1.0
7420 onwind;1.0;2.0;5.190692241339811;onshore wind;0.17901364318406693
7420 solar;1.0;1.0;97.342289642141;solar;0.3354551199836147
7459 OCGT;0.3982;54.97714716223004;96.5;OCGT;1.0
7459 biomass;0.4699999999999999;14.893617021276597;7.2646;biomass;1.0
7459 onwind;1.0;2.0;5.07033295700475;onshore wind;0.11494470032757256
7459 solar;1.0;1.0;29.023873719376283;solar;0.581340020195949
7468 biomass;0.4699999999999996;14.893617021276583;19.1809;biomass;1.0
7468 onwind;1.0;2.0;92.94595903318088;onshore wind;0.49010329880805065
7468 ror;0.9000000000000001;3.0;0.6910000000000001;run of river;0.6608531105671127
7468 solar;1.0;1.0;143.8124921031765;solar;0.05794392176649317
7756 OCGT;0.3872;56.4111570247934;73.1;OCGT;1.0
7756 biomass;0.46999999999999903;14.893617021276526;113.31586;biomass;1.0
7756 onwind;1.0;2.0;69.97897232655598;onshore wind;0.05797635834207514
7756 ror;0.9;3.0;163.30809999999997;run of river;0.6608531105671129
7756 solar;1.0;1.0;724.1166290356119;solar;0.13871773950947075
7812 biomass;0.4699999999999995;14.893617021276592;36.32860000000001;biomass;1.0
7812 onwind;1.0;2.0;210.0734784932926;onshore wind;0.0
7812 ror;0.9;3.0;0.24;run of river;0.6608531105671128
7812 solar;1.0;1.0;200.99209670546296;solar;0.4801459680455349
7897 biomass;0.47;14.893617021276604;24.819500000000005;biomass;1.0
7897 coal;0.3729;25.355725395548404;13.829054348447617;coal;1.0
7897 onwind;1.0;2.0;490.87193721050784;onshore wind;0.27585892427275327
7897 ror;0.9;3.0;0.045;run of river;0.6608531105671128
7897 solar;1.0;1.0;414.33412036301627;solar;0.5107102562466972
7900 biomass;0.46999999999999925;14.893617021276624;76.3051;biomass;1.0
7900 onwind;1.0;2.0;48.87682527183853;onshore wind;0.14568145760616819
7900 ror;0.9000000000000001;3.0;22.021;run of river;0.6608531105671128
7900 solar;1.0;1.0;397.66448896933576;solar;0.1333993559480694
7902 CCGT;0.522;42.70574712643678;182.0;CCGT;1.0
7902 biomass;0.4700000000000001;14.893617021276603;26.352999999999998;biomass;1.0
7902 onwind;1.0;2.0;168.9152548706907;onshore wind;0.01924125591542106
7902 ror;0.9;3.0;2.2;run of river;0.6608531105671129
7902 solar;1.0;1.0;152.36030759529626;solar;0.0728602680481904
7903 CCGT;0.3925065573770491;55.4093355441488;1948.0;CCGT;1.0
7903 biomass;0.4699999999999998;14.893617021276603;24.991999999999997;biomass;1.0
7903 coal;0.33;28.196969696969695;719.110826119276;coal;1.0
7903 onwind;1.0;2.0;33.366171582711125;onshore wind;0.0
7903 solar;1.0;1.0;89.07414278589701;solar;0.250025290230569
7914 biomass;0.46999999999999986;14.893617021276595;23.179400000000008;biomass;1.0
7914 onwind;1.0;2.0;10.252201973701256;onshore wind;0.11613319128195544
7914 ror;0.9;3.0;12.984;run of river;0.6608531105671128
7914 solar;1.0;1.0;152.91365882811365;solar;0.10041271686577574
7949 biomass;0.4699999999999994;14.893617021276604;41.41469999999999;biomass;1.0
7949 onwind;1.0;2.0;19.350083819495726;onshore wind;0.4478767008763089
7949 ror;0.9;3.0;0.325;run of river;0.6608531105671127
7949 solar;1.0;1.0;179.946864653383;solar;0.0751689454606555
8038 biomass;0.4699999999999998;14.893617021276604;14.39;biomass;1.0
8038 onwind;1.0;2.0;135.50247985876837;onshore wind;0.0
8038 solar;1.0;1.0;70.92097355684439;solar;0.034279893686008076
8039 biomass;0.4699999999999998;14.893617021276592;30.108999999999998;biomass;1.0
8039 oil;0.3824734632683658;136.7280237764288;359.0;oil;1.0
8039 onwind;1.0;2.0;1071.810988135196;onshore wind;0.0
8039 solar;1.0;1.0;386.55659301543574;solar;0.03777016514252052
8040 biomass;0.47;14.893617021276597;27.144000000000002;biomass;1.0
8040 onwind;1.0;2.0;258.47812725845654;onshore wind;0.0
8040 solar;1.0;1.0;136.4094860897979;solar;0.030318770008766288
8042 biomass;0.46999999999999975;14.89361702127659;41.85100000000001;biomass;1.0
8042 offwind-ac;1.0;2.0;4.928174971312219;offshore wind;0.04375624147547567
8042 onwind;1.0;2.0;421.3661654915801;onshore wind;0.013506078420973662
8042 solar;1.0;1.0;177.98097333622562;solar;0.11746943304693186
8099 CCGT;0.61875;36.69559082892417;240.5;CCGT;1.0
8099 OCGT;0.3784;57.618393234672304;17.8;OCGT;1.0
8099 biomass;0.4700000000000002;14.893617021276608;17.951000000000004;biomass;1.0
8099 lignite;0.4336;10.188191881918819;20.3;lignite;1.0
8099 onwind;1.0;2.0;496.48800908229373;onshore wind;0.0
8099 ror;0.9;3.0;3.12;run of river;0.6608531105671127
8099 solar;1.0;1.0;234.09803713807045;solar;0.07559397342069238
8101 OCGT;0.3718000000000001;58.56132329209252;48.31;OCGT;1.0
8101 biomass;0.4699999999999999;14.893617021276597;1.83;biomass;1.0
8101 lignite;0.3736;11.262312633832977;35.04131531627193;lignite;1.0
8101 onwind;1.0;2.0;54.695200367355454;onshore wind;0.0
8101 solar;1.0;1.0;37.14132675737295;solar;0.5766279958684482
8121 biomass;0.47000000000000014;14.893617021276608;12.355000000000002;biomass;1.0
8121 onwind;1.0;2.0;88.66920160176754;onshore wind;0.022599813950012065
8121 ror;0.9;3.0;0.6;run of river;0.6608531105671129
8121 solar;1.0;1.0;110.50452298635207;solar;0.26664210414827294
8225 CCGT;0.5175;43.04057971014494;260.0;CCGT;1.0
8225 OCGT;0.4048;54.15415019762846;11.5;OCGT;1.0
8225 biomass;0.4700000000000002;14.893617021276608;20.131999999999994;biomass;1.0
8225 onwind;1.0;2.0;31.18121868973141;onshore wind;0.0
8225 ror;0.9;3.0;0.11;run of river;0.6608531105671128
8225 solar;1.0;1.0;97.31150620864153;solar;0.07981572140819626
8312 biomass;0.47;14.893617021276597;1.355;biomass;1.0
8312 onwind;1.0;2.0;88.12699779299352;onshore wind;0.5042472146208148
8312 solar;1.0;1.0;50.82561474215866;solar;0.5143908014286799
8351 OCGT;0.38499999999999995;56.75255691616529;55.300000000000004;OCGT;1.0
8351 biomass;0.4699999999999994;14.893617021276603;41.711;biomass;1.0
8351 onwind;1.0;2.0;562.8209009750274;onshore wind;0.03820620681006178
8351 ror;0.9000000000000001;3.0;2.374;run of river;0.6608531105671127
8351 solar;1.0;1.0;563.5881894711623;solar;0.33286805037230427
8414 biomass;0.47000000000000003;14.893617021276606;10.975499999999998;biomass;1.0
8414 onwind;1.0;2.0;169.75745761913177;onshore wind;0.06087948385234548
8414 solar;1.0;1.0;104.37149985489452;solar;0.6244216826722087
8593 biomass;0.46999999999999986;14.893617021276595;16.284999999999997;biomass;1.0
8593 onwind;1.0;2.0;45.107621717097786;onshore wind;0.17190469902092964
8593 ror;0.9000000000000002;3.0;2.439;run of river;0.6608531105671128
8593 solar;1.0;1.0;224.23533242389811;solar;0.09287355073179046
8596 OCGT;0.3861;56.559052059052064;13.5;OCGT;1.0
8596 biomass;0.47000000000000014;14.893617021276608;11.076999999999998;biomass;1.0
8596 onwind;1.0;2.0;18.89285051802164;onshore wind;0.11847914051128162
8596 ror;0.9;3.0;0.3;run of river;0.6608531105671128
8596 solar;1.0;1.0;83.43778260623138;solar;0.32117376509933043
8599 CCGT;0.49050000000000005;47.266489753796264;147.0;CCGT;1.0
8599 OCGT;0.3839000000000001;56.85738473560823;11.4;OCGT;1.0
8599 biomass;0.4700000000000002;14.893617021276608;33.115;biomass;1.0
8599 oil;0.3751;139.29778725673154;0.5;oil;1.0
8599 onwind;1.0;2.0;38.29823609004894;onshore wind;0.09610880026478802
8599 ror;0.9;3.0;0.193;run of river;0.6608531105671129
8599 solar;1.0;1.0;144.42162241563037;solar;0.370533943712836
8610 CCGT;0.5805;38.92757955641273;640.8;CCGT;1.0
8610 biomass;0.46999999999999975;14.89361702127659;19.6407;biomass;1.0
8610 onwind;1.0;2.0;223.95624582997647;onshore wind;0.0
8610 solar;1.0;1.0;101.93554667789675;solar;0.03414412738233463
8685 biomass;0.4699999999999998;14.893617021276604;5.7785;biomass;1.0
8685 onwind;1.0;2.0;210.3454842929118;onshore wind;0.1072718408814098
8685 ror;0.9;3.0;5.075000000000001;run of river;0.6608531105671128
8685 solar;1.0;1.0;231.38856078810394;solar;0.249485128262889
8737 biomass;0.47000000000000014;14.893617021276608;14.972999999999999;biomass;1.0
8737 onwind;1.0;2.0;298.4117189601838;onshore wind;0.0
8737 solar;1.0;1.0;92.10078845861308;solar;0.043842817663462645
8806 CCGT;0.5085;43.728023598820066;13.11;CCGT;1.0
8806 OCGT;0.3993;54.838091660405716;13.4;OCGT;1.0
8806 biomass;0.47;14.893617021276599;30.952999999999996;biomass;1.0
8806 onwind;1.0;2.0;242.3821712990872;onshore wind;0.0
8806 ror;0.9000000000000001;3.0;4.672000000000001;run of river;0.6608531105671127
8806 solar;1.0;1.0;215.9163567669624;solar;0.07789452135937897
8834 CCGT;0.5265;42.37663817663818;48.0;CCGT;1.0
8834 biomass;0.4699999999999996;14.893617021276583;63.940900000000006;biomass;1.0
8834 lignite;0.33;12.287878787878787;45.18485396045591;lignite;1.0
8834 onwind;1.0;2.0;380.8296210086154;onshore wind;0.0
8834 solar;1.0;1.0;305.1749196719838;solar;0.033382337540188864
8842 biomass;0.47;14.893617021276606;14.200999999999999;biomass;1.0
8842 onwind;1.0;2.0;264.4147790010258;onshore wind;0.11202897310434624
8842 solar;1.0;1.0;109.08488127836037;solar;0.3116104595507237
8848 biomass;0.4699999999999999;14.893617021276597;23.666915000000003;biomass;1.0
8848 coal;0.33;28.196969696969695;118.92986739664948;coal;1.0
8848 onwind;1.0;2.0;206.7698729033795;onshore wind;0.0
8848 ror;0.9;3.0;9.9;run of river;0.6608531105671128
8848 solar;1.0;1.0;92.44007348413912;solar;0.03802701031130783
3391 PHS;0.8660254037844386;4.0;92.0;pumped hydro;1.0
3573 PHS;0.8660254037844386;4.0;109.0;pumped hydro;1.0
3598 PHS;0.8660254037844386;4.0;1306.8;pumped hydro;1.0
3600 PHS;0.8660254037844386;4.0;100.0;pumped hydro;1.0
3602 PHS;0.8660254037844386;4.0;370.0;pumped hydro;1.0
3752 PHS;0.8660254037844386;4.0;90.0;pumped hydro;1.0
3804 hydro;0.9;4.0;124.0;hydro reservoir;1.0
3806 hydro;0.9;4.0;45.5;hydro reservoir;1.0
4573 PHS;0.8660254037844386;4.0;960.0;pumped hydro;1.0
4577 PHS;0.8660254037844386;4.0;39.8;pumped hydro;1.0
4584 PHS;0.8660254037844386;4.0;399.8;pumped hydro;1.0
4589 PHS;0.8660254037844386;4.0;160.0;pumped hydro;1.0
4590 PHS;0.8660254037844386;4.0;167.1;pumped hydro;1.0
4763 PHS;0.8660254037844386;4.0;162.0;pumped hydro;1.0
4773 PHS;0.8660254037844386;4.0;278.0;pumped hydro;1.0
4793 PHS;0.8660254037844386;4.0;1294.0;pumped hydro;1.0
4886 PHS;0.8660254037844386;4.0;220.0;pumped hydro;1.0
4900 PHS;0.8660254037844386;4.0;79.7;pumped hydro;1.0
4944 PHS;0.8660254037844386;4.0;1060.0;pumped hydro;1.0
5883 PHS;0.8660254037844386;4.0;120.0;pumped hydro;1.0
8121 PHS;0.8660254037844386;4.0;7.42;pumped hydro;1.0
8414 PHS;0.8660254037844386;4.0;480.0;pumped hydro;1.0
8685 PHS;0.8660254037844386;4.0;164.0;pumped hydro;1.0
