;efficiency;marginal_cost;p_nom;carrier;p_max_pu
4886 OCGT;0.38334999999999997;56.94483808602433;49.11;OCGT;1.0
4886 biomass;0.46999999999999975;14.893617021276597;221.19880000000003;biomass;1.0
4886 coal;0.33;28.196969696969695;276.5810869689523;coal;1.0
4886 onwind;1.0;2.0;981.72346561922;onshore wind;0.0
4886 ror;0.9;3.0;20.261000000000003;run of river;0.6608531105671127
4886 solar;1.0;1.0;774.3605890851467;solar;0.5409350370291555
4887 biomass;0.47000000000000014;14.893617021276608;20.852;biomass;1.0
4887 onwind;1.0;2.0;197.75936913562245;onshore wind;0.0
4887 ror;0.9;3.0;1.715;run of river;0.6608531105671128
4887 solar;1.0;1.0;73.03789107192505;solar;0.5961076842634131
4888 CCGT;0.54;41.422222222222224;13.0;CCGT;1.0
4888 biomass;0.47000000000000003;14.8936170212766;27.918;biomass;1.0
4888 onwind;1.0;2.0;176.65441999210066;onshore wind;0.0
4888 ror;0.9;3.0;16.4;run of river;0.6608531105671127
4888 solar;1.0;1.0;59.26579386312954;solar;0.5753353063344141
4890 OCGT;0.4004;54.69980019980021;10.4;OCGT;1.0
4890 biomass;0.46999999999999986;14.893617021276604;22.6445;biomass;1.0
4890 coal;0.33;28.196969696969695;71.9110826119276;coal;1.0
4890 onwind;1.0;2.0;112.1093369809838;onshore wind;0.0
4890 solar;1.0;1.0;96.12258490972799;solar;0.5070620414864405
4891 biomass;0.47000000000000003;14.893617021276606;21.157;biomass;1.0
4891 onwind;1.0;2.0;157.19691629618922;onshore wind;0.0
4891 ror;0.9000000000000001;3.0;6.892399999999999;run of river;0.6608531105671129
4891 solar;1.0;1.0;136.13320085841366;solar;0.5915065513367951
4896 OCGT;0.3839000000000001;56.85738473560823;11.4;OCGT;1.0
4896 biomass;0.46999999999999953;14.89361702127659;44.923;biomass;1.0
4896 coal;0.3579098039215687;26.41041565024123;411.1838826271757;coal;1.0
4896 onwind;1.0;2.0;208.80983298953458;onshore wind;0.0
4896 solar;1.0;1.0;124.43604602694856;solar;0.16182092587318928
4898 biomass;0.4699999999999997;14.893617021276587;41.435;biomass;1.0
4898 onwind;1.0;2.0;707.5864118378772;onshore wind;0.0
4898 ror;0.9;3.0;0.045;run of river;0.6608531105671128
4898 solar;1.0;1.0;277.1491219493855;solar;0.23064730425282265
4900 biomass;0.46999999999999975;14.89361702127659;37.59;biomass;1.0
4900 onwind;1.0;2.0;383.89132040951904;onshore wind;0.0
4900 ror;0.9;3.0;5.304;run of river;0.6608531105671128
4900 solar;1.0;1.0;426.2044865886188;solar;0.47031012655208604
4901 biomass;0.46999999999999986;14.893617021276597;2.9256;biomass;1.0
4901 onwind;1.0;2.0;182.28743945815137;onshore wind;0.1118948404174396
4901 ror;0.9;3.0;0.153;run of river;0.6608531105671128
4901 solar;1.0;1.0;146.90929342423144;solar;0.5817489854723588
4902 biomass;0.4699999999999999;14.893617021276595;23.1256;biomass;1.0
4902 onwind;1.0;2.0;136.5319603902081;onshore wind;0.10968438165077363
4902 ror;0.9;3.0;0.401;run of river;0.6608531105671127
4902 solar;1.0;1.0;178.61105538856432;solar;0.6236021171559796
4905 biomass;0.47000000000000003;14.893617021276606;8.7467;biomass;1.0
4905 onwind;1.0;2.0;24.763685895679167;onshore wind;0.09923969989759676
4905 solar;1.0;1.0;99.18171456490523;solar;0.6165876092333739
4907 OCGT;0.3971;55.13601192470021;108.7;OCGT;1.0
4907 biomass;0.4699999999999998;14.893617021276604;20.55015;biomass;1.0
4907 coal;0.33;28.196969696969695;188.07513913888755;coal;1.0
4907 onwind;1.0;2.0;8.320684817517916;onshore wind;0.10389164060632507
4907 solar;1.0;1.0;101.08774691626134;solar;0.5942193973427781
4909 OCGT;0.4138;53.0741904301595;94.6;OCGT;1.0
4909 biomass;0.46999999999999986;14.893617021276599;2.6790000000000003;biomass;1.0
4909 onwind;1.0;2.0;2.3835526565062244;onshore wind;0.10082049270752459
4909 solar;1.0;1.0;53.8127394272066;solar;0.5054199292881965
4911 biomass;0.4700000000000002;14.893617021276608;11.4536;biomass;1.0
4911 coal;0.3597;26.157770364192384;509.83113697943537;coal;1.0
4911 onwind;1.0;2.0;119.05640673345616;onshore wind;0.08972694734085228
4911 ror;0.9;3.0;0.22;run of river;0.6608531105671127
4911 solar;1.0;1.0;175.19005653110855;solar;0.518522382251477
